E	j	j C	j C	j  Ageo
V RHE	mA cm-2	mA mF-1	mA mF-1	mA cm-2
ML_072		I norm by capacitance @ 1.2 VRHE	I norm by capacitance @ 0.5 VRHE	I norm by Ageo
1.34571	8.0816E-4	0.00835	0.0159	0.04754
1.34621	7.86518E-4	0.00813	0.01548	0.04627
1.34671	8.03291E-4	0.0083	0.01581	0.04725
1.3472	8.22365E-4	0.0085	0.01618	0.04837
1.3477	8.12294E-4	0.00839	0.01598	0.04778
1.3482	7.9939E-4	0.00826	0.01573	0.04702
1.3487	8.13528E-4	0.0084	0.01601	0.04785
1.3492	8.13328E-4	0.0084	0.016	0.04784
1.34969	8.07126E-4	0.00834	0.01588	0.04748
1.35019	8.43573E-4	0.00871	0.0166	0.04962
1.35069	8.50509E-4	0.00879	0.01674	0.05003
1.35119	8.34936E-4	0.00863	0.01643	0.04911
1.35169	8.47007E-4	0.00875	0.01667	0.04982
1.35219	8.38437E-4	0.00866	0.0165	0.04932
1.35269	8.34102E-4	0.00862	0.01641	0.04906
1.35318	8.60246E-4	0.00889	0.01693	0.0506
1.35369	8.69782E-4	0.00899	0.01711	0.05116
1.35419	8.6468E-4	0.00893	0.01701	0.05086
1.35469	8.62446E-4	0.00891	0.01697	0.05073
1.35519	8.80086E-4	0.00909	0.01732	0.05177
1.35568	8.76885E-4	0.00906	0.01725	0.05158
1.35619	8.56911E-4	0.00885	0.01686	0.05041
1.35669	8.32068E-4	0.0086	0.01637	0.04895
1.35719	8.39971E-4	0.00868	0.01653	0.04941
1.35769	8.28467E-4	0.00856	0.0163	0.04873
1.35818	8.47941E-4	0.00876	0.01668	0.04988
1.35869	8.272E-4	0.00855	0.01628	0.04866
1.35919	8.38171E-4	0.00866	0.01649	0.0493
1.35969	8.18697E-4	0.00846	0.01611	0.04816
1.36018	8.22598E-4	0.0085	0.01619	0.04839
1.36068	8.10761E-4	0.00838	0.01595	0.04769
1.36118	8.14128E-4	0.00841	0.01602	0.04789
1.36168	7.87952E-4	0.00814	0.0155	0.04635
1.36218	7.79349E-4	0.00805	0.01534	0.04584
1.36268	7.87318E-4	0.00813	0.01549	0.04631
1.36318	7.98923E-4	0.00825	0.01572	0.047
1.36367	7.94454E-4	0.00821	0.01563	0.04673
1.36418	8.24732E-4	0.00852	0.01623	0.04851
1.36467	8.11394E-4	0.00838	0.01597	0.04773
1.36517	8.18197E-4	0.00845	0.0161	0.04813
1.36568	8.58612E-4	0.00887	0.01689	0.05051
1.36617	8.35103E-4	0.00863	0.01643	0.04912
1.36668	8.80553E-4	0.0091	0.01733	0.0518
1.36718	8.42572E-4	0.0087	0.01658	0.04956
1.36768	8.23732E-4	0.00851	0.01621	0.04845
1.36818	8.71283E-4	0.009	0.01714	0.05125
1.36868	7.96122E-4	0.00822	0.01567	0.04683
1.36918	8.1036E-4	0.00837	0.01595	0.04767
1.36968	8.10961E-4	0.00838	0.01596	0.0477
1.37017	8.0886E-4	0.00836	0.01592	0.04758
1.37067	8.19364E-4	0.00846	0.01612	0.0482
1.37117	8.06692E-4	0.00833	0.01587	0.04745
1.37167	7.82917E-4	0.00809	0.01541	0.04605
1.37216	8.10294E-4	0.00837	0.01594	0.04766
1.37266	8.48341E-4	0.00876	0.01669	0.0499
1.37317	8.67748E-4	0.00896	0.01707	0.05104
1.37366	8.57178E-4	0.00886	0.01687	0.05042
1.37416	8.52776E-4	0.00881	0.01678	0.05016
1.37466	8.61379E-4	0.0089	0.01695	0.05067
1.37516	8.8132E-4	0.0091	0.01734	0.05184
1.37566	8.33836E-4	0.00861	0.01641	0.04905
1.37616	8.34469E-4	0.00862	0.01642	0.04909
1.37666	8.53343E-4	0.00882	0.01679	0.0502
1.37716	8.7275E-4	0.00902	0.01717	0.05134
1.37766	8.75918E-4	0.00905	0.01724	0.05152
1.37816	8.47941E-4	0.00876	0.01668	0.04988
1.37865	8.61579E-4	0.0089	0.01695	0.05068
1.37915	8.77685E-4	0.00907	0.01727	0.05163
1.37965	8.34002E-4	0.00862	0.01641	0.04906
1.38015	8.51209E-4	0.00879	0.01675	0.05007
1.38065	9.07263E-4	0.00937	0.01785	0.05337
1.38116	8.26199E-4	0.00854	0.01626	0.0486
1.38166	7.99323E-4	0.00826	0.01573	0.04702
1.38215	8.07393E-4	0.00834	0.01589	0.04749
1.38266	8.10427E-4	0.00837	0.01595	0.04767
1.38315	8.04025E-4	0.00831	0.01582	0.0473
1.38365	8.01724E-4	0.00828	0.01578	0.04716
1.38415	8.1773E-4	0.00845	0.01609	0.0481
1.38466	8.25299E-4	0.00853	0.01624	0.04855
1.38515	7.71146E-4	0.00797	0.01517	0.04536
1.38565	7.84884E-4	0.00811	0.01544	0.04617
1.38614	8.11194E-4	0.00838	0.01596	0.04772
1.38665	7.99123E-4	0.00826	0.01572	0.04701
1.38714	7.85885E-4	0.00812	0.01546	0.04623
1.38764	7.95722E-4	0.00822	0.01566	0.04681
1.38815	7.8295E-4	0.00809	0.01541	0.04606
1.38864	7.83817E-4	0.0081	0.01542	0.04611
1.38914	7.7458E-4	0.008	0.01524	0.04556
1.38964	8.1066E-4	0.00837	0.01595	0.04769
1.39015	7.95822E-4	0.00822	0.01566	0.04681
1.39065	8.17496E-4	0.00845	0.01609	0.04809
1.39116	8.65381E-4	0.00894	0.01703	0.0509
1.39167	8.32535E-4	0.0086	0.01638	0.04897
1.39218	8.05425E-4	0.00832	0.01585	0.04738
1.39267	8.15562E-4	0.00843	0.01605	0.04797
1.39317	8.33536E-4	0.00861	0.0164	0.04903
1.39368	8.03691E-4	0.0083	0.01581	0.04728
1.39418	8.43106E-4	0.00871	0.01659	0.04959
1.39468	8.25566E-4	0.00853	0.01624	0.04856
1.39518	8.12128E-4	0.00839	0.01598	0.04777
1.39568	8.12895E-4	0.0084	0.016	0.04782
1.39617	8.23465E-4	0.00851	0.0162	0.04844
1.39668	8.03525E-4	0.0083	0.01581	0.04727
1.39717	8.30701E-4	0.00858	0.01635	0.04886
1.39767	8.45907E-4	0.00874	0.01664	0.04976
1.39816	8.38971E-4	0.00867	0.01651	0.04935
1.39867	8.12828E-4	0.0084	0.01599	0.04781
1.39916	8.28234E-4	0.00856	0.0163	0.04872
1.39966	8.7335E-4	0.00902	0.01718	0.05137
1.40016	8.39871E-4	0.00868	0.01653	0.0494
1.40066	8.49108E-4	0.00877	0.01671	0.04995
1.40116	8.4454E-4	0.00872	0.01662	0.04968
1.40166	8.75351E-4	0.00904	0.01722	0.05149
1.40215	9.07163E-4	0.00937	0.01785	0.05336
1.40266	9.21835E-4	0.00952	0.01814	0.05423
1.40316	8.74851E-4	0.00904	0.01721	0.05146
1.40365	8.7135E-4	0.009	0.01715	0.05126
1.40415	8.82087E-4	0.00911	0.01736	0.05189
1.40465	9.25636E-4	0.00956	0.01821	0.05445
1.40515	8.76918E-4	0.00906	0.01725	0.05158
1.40565	9.177E-4	0.00948	0.01806	0.05398
1.40615	9.41909E-4	0.00973	0.01853	0.05541
1.40665	9.47811E-4	0.00979	0.01865	0.05575
1.40715	9.17033E-4	0.00947	0.01804	0.05394
1.40765	9.11965E-4	0.00942	0.01794	0.05364
1.40815	9.30205E-4	0.00961	0.0183	0.05472
1.40865	9.7162E-4	0.01004	0.01912	0.05715
1.40915	9.30772E-4	0.00962	0.01831	0.05475
1.40965	9.31505E-4	0.00962	0.01833	0.05479
1.41014	9.25103E-4	0.00956	0.0182	0.05442
1.41064	9.22569E-4	0.00953	0.01815	0.05427
1.41114	9.28771E-4	0.00959	0.01828	0.05463
1.41164	9.40008E-4	0.00971	0.0185	0.05529
1.41214	9.01294E-4	0.00931	0.01773	0.05302
1.41264	9.34173E-4	0.00965	0.01838	0.05495
1.41314	9.43476E-4	0.00975	0.01856	0.0555
1.41364	9.43976E-4	0.00975	0.01857	0.05553
1.41414	9.51479E-4	0.00983	0.01872	0.05597
1.41464	9.6105E-4	0.00993	0.01891	0.05653
1.41513	9.40108E-4	0.00971	0.0185	0.0553
1.41564	9.28537E-4	0.00959	0.01827	0.05462
1.41615	9.67319E-4	0.00999	0.01903	0.0569
1.41666	9.78156E-4	0.0101	0.01925	0.05754
