X	Z
µm	µm
1598.29	-0.122
1599.678	-0.117
1601.065	-0.1
1602.453	-0.102
1603.84	-0.111
1605.227	-0.099
1606.615	-0.123
1608.002	-0.114
1609.39	-0.095
1610.777	-0.101
1612.165	-0.107
1613.552	-0.112
1614.939	-0.11
1616.327	-0.092
1617.714	-0.094
1619.102	-0.112
1620.489	-0.105
1621.876	-0.083
1623.264	-0.087
1624.651	-0.094
1626.039	-0.095
1627.426	-0.085
1628.813	-0.096
1630.201	-0.098
1631.588	-0.082
1632.976	-0.084
1634.363	-0.073
1635.75	-0.077
1637.138	-0.117
1638.525	-0.088
1639.913	-0.1
1641.3	-0.107
1642.687	-0.08
1644.075	-0.08
1645.462	-0.084
1646.85	-0.078
1648.237	-0.104
1649.624	-0.118
1651.012	-0.102
1652.399	-0.13
1653.787	-0.085
1655.174	-0.143
1656.561	-0.138
1657.949	-0.124
1659.336	-0.1
1660.724	-0.102
1662.111	-0.115
1663.498	-0.151
1664.886	-0.121
1666.273	-0.101
1667.661	-0.109
1669.048	-0.112
1670.436	-0.111
1671.823	-0.103
1673.21	-0.119
1674.598	-0.104
1675.985	-0.104
1677.373	-0.078
1678.76	-0.11
1680.147	-0.107
1681.535	-0.119
1682.922	-0.093
1684.31	-0.103
1685.697	-0.1
1687.084	-0.119
1688.472	-0.112
1689.859	-0.099
1691.247	-0.093
1692.634	-0.083
1694.021	-0.105
1695.409	-0.109
1696.796	-0.095
1698.184	-0.115
1699.571	-0.089
1700.958	-0.095
1702.346	-0.09
1703.733	-0.08
1705.121	-0.091
1706.508	-0.103
1707.895	-0.108
1709.283	-0.105
1710.67	-0.109
1712.058	-0.113
1713.445	-0.107
1714.832	-0.103
1716.22	-0.105
1717.607	-0.126
1718.995	-0.099
1720.382	-0.131
1721.77	-0.099
1723.157	-0.067
1724.544	-0.128
1725.932	-0.12
1727.319	-0.109
1728.707	-0.15
1730.094	-0.111
1731.481	-0.116
1732.869	-0.117
1734.256	-0.113
1735.644	-0.1
1737.031	-0.1
1738.418	-0.072
1739.806	-0.094
1741.193	-0.106
1742.581	-0.1
1743.968	-0.101
1745.355	-0.091
1746.743	-0.088
1748.13	-0.086
1749.518	-0.099
1750.905	-0.094
1752.292	-0.101
1753.68	-0.106
1755.067	-0.11
1756.455	-0.119
1757.842	-0.13
1759.229	-0.116
1760.617	-0.133
1762.004	-0.135
1763.392	-0.13
1764.779	-0.126
1766.166	-0.136
1767.554	-0.122
1768.941	-0.092
1770.329	-0.103
1771.716	-0.086
1773.103	-0.096
1774.491	-0.104
1775.878	-0.096
1777.266	-0.115
1778.653	-0.102
1780.041	-0.086
1781.428	-0.124
1782.815	-0.11
1784.203	-0.12
