X	Z
µm	µm
1518.854	0.029
1520.242	0.031
1521.63	0.008
1523.019	0.008
1524.407	0.017
1525.795	0.016
1527.184	0.018
1528.572	0.03
1529.961	0.007
1531.349	0.018
1532.737	0.028
1534.126	0.022
1535.514	0.027
1536.902	0.037
1538.291	0.018
1539.679	0.027
1541.067	0.03
1542.456	0.026
1543.844	0.022
1545.232	0.02
1546.621	0.017
1548.009	0.042
1549.397	0.044
1550.786	0.042
1552.174	0.057
1553.562	0.039
1554.951	0.041
1556.339	0.047
1557.727	0.048
1559.116	0.058
1560.504	0.067
1561.893	0.079
1563.281	0.082
1564.669	0.078
1566.058	0.08
1567.446	0.093
1568.834	0.097
1570.223	0.094
1571.611	0.089
1572.999	0.087
1574.388	0.105
1575.776	0.106
1577.164	0.105
1578.553	0.106
1579.941	0.103
1581.329	0.12
1582.718	0.126
1584.106	0.103
1585.494	0.113
1586.883	0.138
1588.271	0.128
1589.66	0.123
1591.048	0.114
1592.436	0.119
1593.825	0.139
1595.213	0.127
1596.601	0.123
1597.99	0.13
1599.378	0.133
1600.766	0.127
1602.155	0.134
1603.543	0.14
1604.931	0.138
1606.32	0.142
1607.708	0.135
1609.096	0.119
1610.485	0.125
1611.873	0.129
1613.261	0.132
1614.65	0.141
1616.038	0.149
1617.426	0.148
1618.815	0.132
1620.203	0.146
1621.592	0.142
1622.98	0.13
1624.368	0.15
1625.757	0.148
1627.145	0.135
1628.533	0.148
1629.922	0.149
1631.31	0.139
1632.698	0.13
1634.087	0.135
1635.475	0.132
1636.863	0.137
1638.252	0.148
1639.64	0.144
1641.028	0.146
1642.417	0.139
1643.805	0.159
1645.193	0.177
1646.582	0.171
1647.97	0.173
1649.359	0.177
1650.747	0.179
1652.135	0.181
1653.524	0.166
1654.912	0.161
1656.3	0.153
1657.689	0.147
1659.077	0.146
1660.465	0.14
1661.854	0.131
1663.242	0.141
1664.63	0.148
1666.019	0.137
1667.407	0.139
1668.795	0.131
1670.184	0.113
1671.572	0.116
1672.96	0.114
1674.349	0.096
1675.737	0.077
1677.125	0.065
1678.514	0.062
1679.902	0.05
1681.291	0.049
1682.679	0.048
1684.067	0.051
1685.456	0.08
1686.844	0.1
1688.232	0.111
1689.621	0.126
1691.009	0.105
1692.397	0.065
1693.786	0.028
1695.174	-0.029
1696.562	-0.067
1697.951	-0.086
1699.339	-0.073
1700.727	-0.041
1702.116	-0.047
1703.504	-0.064
1704.892	-0.069
1706.281	-0.062
1707.669	-0.061
1709.058	-0.081
1710.446	-0.085
1711.834	-0.081
1713.223	-0.085
1714.611	-0.081
1715.999	-0.097
1717.388	-0.1
1718.776	-0.095
1720.164	-0.088
1721.553	-0.093
1722.941	-0.105
1724.329	-0.1
1725.718	-0.108
1727.106	-0.093
1728.494	-0.089
1729.883	-0.082
1731.271	-0.086
1732.659	-0.078
1734.048	-0.061
1735.436	-0.061
1736.824	-0.062
1738.213	-0.08
1739.601	-0.085
1740.99	-0.071
1742.378	-0.079
1743.766	-0.087
1745.155	-0.077
1746.543	-0.071
1747.931	-0.071
1749.32	-0.091
1750.708	-0.099
1752.096	-0.078
1753.485	-0.072
1754.873	-0.082
1756.261	-0.083
1757.65	-0.089
1759.038	-0.082
1760.426	-0.075
1761.815	-0.076
1763.203	-0.073
1764.591	-0.09
1765.98	-0.097
1767.368	-0.076
1768.757	-0.084
1770.145	-0.095
1771.533	-0.079
1772.922	-0.083
1774.31	-0.088
1775.698	-0.086
1777.087	-0.091
1778.475	-0.096
1779.863	-0.097
1781.252	-0.101
1782.64	-0.106
1784.028	-0.105
1785.417	-0.099
1786.805	-0.092
1788.193	-0.091
1789.582	-0.089
1790.97	-0.085
1792.358	-0.093
1793.747	-0.09
1795.135	-0.07
1796.523	-0.073
1797.912	-0.089
1799.3	-0.086
1800.689	-0.079
1802.077	-0.09
1803.465	-0.093
1804.854	-0.087
1806.242	-0.094
1807.63	-0.094
1809.019	-0.072
1810.407	-0.08
1811.795	-0.086
1813.184	-0.077
1814.572	-0.074
1815.96	-0.08
1817.349	-0.09
1818.737	-0.09
1820.125	-0.08
1821.514	-0.062
1822.902	-0.064
1824.29	-0.076
1825.679	-0.06
1827.067	-0.052
1828.456	-0.058
1829.844	-0.056
1831.232	-0.05
