Co%,Ir%,Ti%,Overpotential,Dissolution_Ir193 (S001),Dissolution_Co59 (S001),Dissolution_Ti47 (S001),Overpotential_std,Dissolution_Ir193 (S001)_std,Dissolution_Co59 (S001)_std,Dissolution_Ti47 (S001)_std
26.29,43.19,30.52,341.40458494461296,5.618867089131625,106.41577144580631,25.042325064275836,10.003523094036094,0.7485624814542494,45.69888176339405,3.473822937207369
27.01,40.28,32.7,352.50076734749337,4.710041491089495,79.76583708000015,22.62323312954153,10.938353457079684,0.8187779305858788,49.87619442628234,3.790143266681015
24.06,40.57,35.38,363.82747599016636,3.346258134715491,48.913078365460635,18.939240773875724,8.498937876028734,0.6360073938306462,38.901003458267574,2.964925474463908
23.38,40.8,35.82,365.80587348761884,3.1371896371379044,48.12603757009819,18.300337055918288,8.788629239201228,0.6575209514523344,40.211176160176166,3.0583943253058745
22.77,39.6,37.62,370.37435212988345,2.7072992325457053,38.8733290073166,16.493687470335146,7.352949276153206,0.5500020160139434,33.68795115639348,2.56307893947692
22.56,38.46,38.97,371.9412741862439,2.502666851082598,29.170129064661424,15.205296002578544,1.0471214103820106,0.09112101792860487,5.291409182198566,0.6919877018248974
21.03,36.41,42.56,377.89188488464544,1.7714115480624777,13.455369705732622,15.840978005017913,8.527611938503666,0.638123792464269,39.02898396657322,2.9724700832218924
21.31,33.88,44.81,380.80782797302936,1.610980099290435,4.454224888990268,15.558125997273688,8.968820846065688,0.6714824063793736,40.999867859469404,3.1272896289302143
18.86,33.71,47.43,383.62887409449763,1.4622244849004784,8.41628360088977,15.283474114531813,11.54264718382828,0.8689761396651242,52.08204495092945,3.992395950435981
21.27,69.52,9.21,359.0917497048219,1.9268988668316398,12.576902692055683,11.574435548046056,13.07770670799539,0.9900582096162464,58.31097953982801,4.497560518742004
23.25,66.25,10.5,352.27367170450776,2.433546438681676,27.180851496711867,12.761391147842264,12.164804832806253,0.9154756600233301,54.86122199182003,4.202909312669132
26.49,61.01,12.5,340.6960405953105,3.2667259517471,66.21062610527562,12.370328448512682,1.0588995235721332,0.09252155539853985,5.362862893264761,0.7205461214107414
27.36,57.09,15.54,320.9066329608282,5.905937376171174,153.08389657253815,21.98476269386788,9.320176309619109,0.6974489933522923,42.60297951792364,3.240920668419001
29.09,53.09,17.82,313.2423693780877,7.013148264035487,189.29885409040497,25.981630121248674,7.350546338679415,0.5504634800027832,33.6896301691336,2.5837811546515503
27.48,53.44,19.08,312.9725624503866,7.221915559008817,196.64482956908094,26.357933076588743,9.477466935406344,0.7091593146170228,43.311152169095784,3.2922217015252992
28.74,50.39,20.87,314.2144146502546,7.478700720191021,189.54481810373673,27.677853306766863,11.240551941678914,0.8416600050609647,51.20300994588028,3.892761992402566
28.22,48.55,23.24,318.30879076527594,7.528311086051552,176.29926345189776,28.327647044700033,11.50575043694611,0.8615025571365461,52.39704966487607,3.982165372952049
26.92,47.44,25.64,325.8370849993127,7.148134868074878,154.4979224833649,28.12652309222911,10.415728031755137,0.7795305665434855,47.540371529245746,3.613295773649591
28.38,44.54,27.07,328.44048692115797,7.194754339389372,144.96486656639294,27.959523192144623,7.8912147095198515,0.5908021815814599,36.135944596562695,2.7638578115278687
28.05,42.99,28.96,335.42580441820184,6.563329745013377,125.96426954860667,26.72792325887815,8.28598046105387,0.6203577186680622,37.92666450753401,2.8991856984746796
27.8,40.81,31.39,346.60742250993036,5.409035632073841,97.39452364169769,24.185894689469,10.945276915883131,0.8192911362445796,49.90514341484951,3.7919773286306007
27.14,40.0,32.86,353.57046399300435,4.640593881017144,77.70010820500306,22.430540994239497,10.98809387438351,0.8225301487796618,50.096384526216724,3.807087241195209
25.7,38.79,35.51,365.54450306420273,3.4174333109964294,41.351927395646015,19.059045574630364,7.508475433606205,0.5625295470752967,34.391601566913494,2.6420804205432997
24.88,38.76,36.36,368.8254348501199,3.0629913061674663,29.352416936582586,17.90802258338619,1.0563539852621382,0.09221263922383878,5.3477723347063435,0.714061220591164
23.86,37.06,39.09,373.7566716543311,3.018213766318106,28.579464322986183,16.609903276435503,5.049576117903183,0.37962072646170264,23.217500127854716,1.826891256741006
23.16,36.32,40.53,375.17227010950955,2.514315746011263,22.496935588199804,16.128710403703526,8.467708635508547,0.6337395359230854,38.724036529117164,2.9479873915541615
23.47,34.18,42.35,378.5052804073418,2.1093522140475574,13.541938148993552,15.849200259011589,10.722567570319676,0.8030479881319218,48.85240416888697,3.7130350266575336
22.04,32.8,45.16,381.2945912189015,1.7413115062330955,6.516625058065955,15.545907595123467,10.149782314307298,0.7599013626075117,46.31321467773056,3.5221475915863034
21.43,31.87,46.7,382.7116792917706,1.735200606756254,7.608570299878011,15.460526364737063,9.960426357611532,0.745541475413762,45.485358923231416,3.4608464982976104
21.84,29.89,48.28,384.0576424019832,1.920597926734192,11.546731928458811,15.479699016677674,7.11725813690091,0.5334348086204838,32.60925816482026,2.511799094793629
24.53,65.89,9.58,351.2528010619911,2.5143866546187845,32.86258727526371,12.405008119425801,13.194680195981176,0.9968317091017159,59.02455195458831,4.542966040406794
27.37,60.43,12.2,338.4074009552514,3.6187929434365085,76.51494439466055,13.67153453465819,7.325775761219888,0.5500985749725833,33.44578651460512,2.586795963188014
29.18,56.39,14.43,323.19060579082617,5.62789234787275,141.62736567025507,20.844580855100006,10.919665841304766,0.818280470776957,49.671704543775625,3.783034303263474
30.14,52.48,17.38,313.4289466924615,6.9378891208308655,186.60618097076303,25.946565272270725,1.058299693742511,0.09244561155226158,5.3596043546585515,0.7190223989505073
