	[Co Spot (1,1)] Co2p		[IrCo 20:80 Spot (2,1)] Co2p		[IrCo 40:60 Spot (3,1)] Co2p		[IrCo 60:40 Spot (4,1)] Co2p		[IrCo 80:20 Spot (5,1)] Co2p		[Ir Spot (9,6)] Co2p
784.33	1985.61721209	784.41	5554.780241417	784.38	10491.279199284	784.33	12880.664809181	784.46	16504.837100841	784.34	21571.919192155
784.43	1988.94630238	784.51	5560.276102687	784.48	10502.708440554	784.43	12880.277861631	784.56	16508.333130791	784.44	21609.367833355
784.53	1969.55448822	784.61	5553.947640737	784.58	10501.959394444	784.53	12894.240781051	784.66	16519.248001891	784.54	21539.590154555
784.63	1971.48463651	784.71	5569.014257777	784.68	10504.416792974	784.63	12884.552918431	784.76	16523.032329025	784.64	21554.918030685
784.73	1962.48298336	784.81	5557.562016887	784.78	10500.595926264	784.73	12883.253109081	784.86	16523.668340191	784.74	21597.225002285
784.83	1975.61880742	784.91	5559.634681107	784.88	10487.951028754	784.83	12885.005146281	784.96	16531.817869808	784.84	21556.926989485
784.93	1975.32855371	785.01	5581.351801487	784.98	10468.606781394	784.93	12885.320273561	785.06	16523.829590991	784.94	21563.870340555
785.03	1972.36395456	785.11	5571.436107957	785.08	10501.768392624	785.03	12905.641569081	785.16	16524.981533275	785.04	21557.519975615
785.13	1992.48146993	785.21	5581.827882977	785.18	10477.992870824	785.13	12896.580321961	785.26	16527.149322558	785.14	21630.448250555
785.23	1983.24207127	785.31	5567.111975937	785.28	10478.839523534	785.23	12891.460920661	785.36	16522.654208091	785.24	21572.408831755
785.33	1973.82847171	785.41	5593.758537157	785.38	10491.577680714	785.33	12883.852003461	785.46	16522.466331441	785.34	21593.442299215
785.43	1986.75038709	785.51	5592.121715307	785.48	10495.640344794	785.43	12896.718521101	785.56	16524.598779125	785.44	21599.247911085
785.53	1973.41812693	785.61	5578.667913737	785.58	10506.182641154	785.53	12902.244900201	785.66	16529.164775741	785.54	21634.258533885
785.63	1988.9042654	785.71	5553.362983417	785.68	10528.046954484	785.63	12904.054055961	785.76	16516.408957541	785.64	21581.369774955
785.73	1993.9178986	785.81	5552.583028537	785.78	10506.662710994	785.73	12902.072172851	785.86	16527.525351591	785.74	21600.266851085
785.83	1987.65653111	785.91	5563.599534977	785.88	10518.336541954	785.83	12888.440151851	785.96	16519.204290208	785.84	21580.392536285
785.93	1994.89641422	786.01	5563.517199137	785.98	10505.705100774	785.93	12884.300081651	786.06	16522.964082958	785.94	21528.137160015
786.03	1983.83604504	786.11	5560.830739797	786.08	10507.677393374	786.03	12874.586993011	786.16	16517.765236175	786.04	21559.794073615
786.13	1976.11428844	786.21	5572.061420777	786.18	10501.057630624	786.13	12893.972642531	786.26	16517.498110558	786.14	21519.292984285
