	[Ir. spot (1,3)] Ir4f		[CoIr (20:80). spot (3,3)] Ir4f		[Ir-Co 40:60 Spot (8,9) JP08] Ir4f		[Ir-Co 60:40 Spot (6,2) JP08] Ir4f		[CoIr (8020). spot (5,3)] Ir4f		[Co Spot (5,2)] Ir4f
61.2249999999943	2188.04513893	61.2400000000145	6685.0654103111	61.1499999999946	9260.2674485092	61.2199999999941	12909.8180484853	61.2149999999945	17136.5837248404	61.1699999999951	20856.3141373275
61.3249999999942	2709.35578018	61.3400000000144	6932.7876977811	61.2499999999945	9302.8864729722	61.319999999994	12892.0375783073	61.3149999999944	17202.7483616844	61.269999999995	20851.2718928835
61.4249999999941	3254.62259458	61.4400000000143	7139.2230803111	61.3499999999944	9329.3830807722	61.4199999999939	12874.9859461743	61.4149999999943	17277.8865757294	61.3699999999949	20866.8259557725
61.524999999994	3686.03682351	61.5400000000142	7252.4294124911	61.4499999999943	9277.4457968422	61.5199999999938	12846.1990707073	61.5149999999942	17335.2965190174	61.4699999999948	20870.0650686615
61.6249999999939	4047.50690844	61.6400000000141	7234.8846353311	61.5499999999942	9272.3295465092	61.6199999999937	12840.2572464853	61.6149999999941	17389.0639459064	61.5699999999947	20855.3423415495
61.7249999999938	4224.92355591	61.740000000014	7116.5908920011	61.6499999999941	9249.2558884422	61.7199999999936	12814.0384664413	61.714999999994	17446.4106256844	61.6699999999946	20862.8896433275
61.8249999999937	4165.01227982	61.8400000000139	6978.0998216411	61.749999999994	9218.6225939752	61.8199999999935	12807.3878881743	61.8149999999939	17466.9115391514	61.7699999999945	20845.1873711055
61.9249999999936	4069.3052592	61.9400000000138	6874.2295656911	61.8499999999939	9190.4648071752	61.9199999999934	12802.5074315073	61.9149999999938	17485.0514233284	61.8699999999944	20845.9806148835
62.0249999999935	3872.49834724	62.0400000000137	6684.7691049311	61.9499999999938	9145.6778132422	62.0199999999933	12784.0242427073	62.0149999999937	17462.1791022624	61.9699999999943	20843.6379615495
62.1249999999934	3644.05231907	62.1400000000136	6558.9918202211	62.0499999999937	9091.2759311752	62.1199999999932	12787.0050923523	62.1149999999936	17465.2426587954	62.0699999999942	20860.9531771055
62.2249999999933	3457.02095991	62.2400000000135	6402.1700169811	62.1499999999936	9047.6050739092	62.2199999999931	12779.5006895963	62.2149999999935	17452.7054950174	62.1699999999941	20855.1705351055
62.3249999999932	3250.19330364	62.3400000000134	6249.7493607511	62.2499999999935	9023.2919189092	62.319999999993	12788.3372160853	62.3149999999934	17437.4776458624	62.269999999994	20841.1594019945
62.4249999999931	3059.17826178	62.4400000000133	6137.5969161311	62.3499999999934	8979.9766191752	62.4199999999929	12776.2193442633	62.4149999999933	17379.2663928394	62.3699999999939	20857.2055397725
62.524999999993	2873.64277689	62.5400000000132	6043.5078059111	62.4499999999933	8921.0122781092	62.5199999999928	12777.9304753303	62.5149999999932	17334.2878804404	62.4699999999938	20835.6792064388
62.6249999999929	2741.83830436	62.6400000000131	5973.0996035511	62.5499999999932	8906.4184743092	62.6199999999927	12796.3775097743	62.6149999999931	17296.4115241284	62.5699999999937	20846.4962437725
62.7249999999928	2546.95983551	62.740000000013	5868.1958774611	62.6499999999931	8869.3893408422	62.7199999999926	12815.6062335963	62.714999999993	17248.2116379064	62.6699999999936	20860.2105591055
62.8249999999927	2460.66697431	62.8400000000129	5794.1775024011	62.749999999993	8836.0958933092	62.8199999999925	12834.8755766193	62.8149999999929	17217.1102529734	62.7699999999935	20845.5901175495
62.9249999999926	2360.09626969	62.9400000000128	5758.7752581811	62.8499999999929	8822.4373565752	62.9199999999924	12869.0631267073	62.9149999999928	17168.8204367064	62.8699999999934	20856.1916355495
63.0249999999925	2212.61329236	63.0400000000127	5683.4445420411	62.9499999999928	8808.3396775092	63.0199999999923	12903.4174437303	63.0149999999927	17116.8752756404	62.9699999999933	20851.0850391055
63.1249999999924	2147.55530396	63.1400000000126	5641.2547042611	63.0499999999927	8818.7735365092	63.1199999999922	12956.0859371963	63.1149999999926	17075.0976676394	63.0699999999932	20861.0354977725
63.2249999999923	2066.76906067	63.2400000000125	5600.9730262211	63.1499999999926	8813.9613071092	63.2199999999921	12974.8949595963	63.2149999999925	17050.2777377734	63.1699999999931	20855.1261904385
63.3249999999922	2005.14164356	63.3400000000124	5580.7057319511	63.2499999999925	8806.0866029092	63.319999999992	12980.1774115523	63.3149999999924	17039.9724968844	63.269999999993	20851.8567375495
63.4249999999921	1950.643044	63.4400000000123	5585.5251475111	63.3499999999924	8821.0559317092	63.4199999999919	13000.0889458633	63.4149999999923	17035.0513363064	63.3699999999929	20861.7277506615
63.524999999992	1927.33722511	63.5400000000122	5624.7063624911	63.4499999999923	8863.0794152422	63.5199999999918	12997.7664603523	63.5149999999922	17019.1063885284	63.4699999999928	20853.1448775495
63.6249999999919	1907.33950382	63.6400000000121	5666.6926797811	63.5499999999922	8922.0198453752	63.6199999999917	12997.0408027963	63.6149999999921	17007.2011887064	63.5699999999927	20854.1278264385
63.7249999999918	1950.95181213	63.740000000012	5777.5216748411	63.6499999999921	8992.1647283752	63.7199999999916	13001.9511990193	63.714999999992	17003.2769808844	63.6699999999926	20864.5480279945
63.8249999999917	1998.66176858	63.8400000000119	5939.7397207111	63.749999999992	9039.5933582422	63.8199999999915	12978.7670639963	63.8149999999919	17028.1043837734	63.7699999999925	20866.7516399945
63.9249999999916	2111.33371116	63.9400000000118	6113.3572865311	63.8499999999919	9079.9774879752	63.9199999999914	12939.6467794633	63.9149999999918	17036.3678315064	63.8699999999924	20847.0436615495
64.0249999999915	2345.10151827	64.0400000000117	6353.2197292011	63.9499999999918	9147.1188421752	64.0199999999913	12915.6779411073	64.0149999999917	17077.3489383954	63.9699999999923	20834.2312988833
64.1249999999914	2575.10285151	64.1400000000116	6571.2900286611	64.0499999999917	9181.5724605092	64.1199999999912	12905.1268366193	64.1149999999916	17129.3724725294	64.0699999999922	20844.7859704385
64.2249999999913	2875.39345236	64.2400000000115	6778.8790847111	64.1499999999916	9248.9723087752	64.2199999999911	12896.2899372413	64.2149999999915	17166.2228657734	64.1699999999921	20848.4959128835
64.3249999999912	3237.77600836	64.3400000000114	6917.8548183511	64.2499999999915	9245.8588967092	64.319999999991	12877.1342159963	64.3149999999914	17203.2836541734	64.269999999992	20858.1279042165
64.4249999999911	3560.83032133	64.4400000000113	7029.7943438611	64.3499999999914	9219.4628203752	64.4199999999909	12857.5318590193	64.4149999999913	17251.4732996844	64.3699999999919	20851.8729591055
64.524999999991	3818.45548276	64.5400000000112	7043.8991256011	64.4499999999913	9193.7085171092	64.5199999999908	12837.6218161303	64.5149999999912	17284.5467092404	64.4699999999918	20870.3889664385
64.6249999999909	3976.74917249	64.6400000000111	7060.4225796411	64.5499999999912	9199.5753756422	64.6199999999907	12802.9060679963	64.6149999999911	17323.3459343514	64.5699999999917	20826.8168464388
64.7249999999908	4047.97871538	64.740000000011	6960.0395260411	64.6499999999911	9182.6558878422	64.7199999999906	12798.6144643523	64.714999999991	17342.3821413284	64.6699999999916	20849.3794417725
