Time	E	j
s	V RHE	mA cm-2
74.80015	1.17286	2.62146E-6
74.90014	1.17295	2.62146E-6
75.00014	1.17297	2.61782E-6
75.10015	1.17298	2.62146E-6
75.20015	1.17302	2.62146E-6
75.30015	1.17305	2.62146E-6
75.40014	1.1731	2.54869E-6
75.50015	1.17316	2.10734E-6
75.60015	1.1732	2.40943E-6
75.70015	1.17322	2.62146E-6
75.80015	1.17328	2.61974E-6
75.90014	1.17332	2.62114E-6
76.00015	1.17336	2.62146E-6
76.10015	1.17349	2.62146E-6
76.20015	1.1736	7.86706E-7
76.30015	1.1736	2.60612E-6
76.40015	1.17375	2.62146E-6
76.50015	1.1738	2.62146E-6
76.60015	1.17381	2.62146E-6
76.70015	1.17381	2.62146E-6
76.80015	1.17387	2.62146E-6
76.90015	1.17387	2.62146E-6
77.00015	1.17396	2.07702E-6
77.10015	1.17402	1.80995E-8
77.20015	1.174	2.41193E-6
77.30015	1.17406	2.44041E-6
77.40015	1.17426	2.62146E-6
77.50015	1.17433	2.62146E-6
77.60015	1.17447	2.61772E-6
77.70016	1.17446	-1.21968E-7
77.80015	1.17452	2.62146E-6
77.90015	1.17458	2.56095E-6
78.00015	1.17459	2.62146E-6
78.10015	1.17461	2.62146E-6
78.20016	1.17463	2.62146E-6
78.30015	1.17468	2.62146E-6
78.40015	1.17475	2.62146E-6
78.50015	1.17482	2.62146E-6
78.60016	1.17488	2.62146E-6
78.70016	1.17494	2.62146E-6
78.80015	1.17505	2.62146E-6
78.90015	1.17514	2.62146E-6
79.00015	1.17522	2.60899E-6
79.10016	1.17525	1.26203E-6
79.20016	1.17531	2.62146E-6
79.30015	1.17536	2.62146E-6
79.40015	1.17537	2.62146E-6
79.50016	1.17542	2.62146E-6
79.60016	1.17545	2.42995E-6
79.70016	1.17552	2.62146E-6
79.80015	1.17566	2.62146E-6
79.90015	1.17581	2.62146E-6
80.00016	1.17585	2.62146E-6
80.10016	1.17585	1.88208E-7
80.20016	1.17588	2.62146E-6
80.30015	1.17601	2.62146E-6
80.40016	1.17607	2.62146E-6
80.50016	1.17608	2.62146E-6
80.60016	1.17614	2.40222E-6
80.70016	1.17615	1.59368E-6
80.80015	1.17617	2.62146E-6
80.90016	1.17618	2.62146E-6
81.00016	1.17623	2.62146E-6
81.10016	1.17629	2.62146E-6
81.20016	1.17638	2.4763E-6
81.30016	1.17641	2.41478E-6
81.40016	1.17638	2.62146E-6
81.50016	1.17648	2.62146E-6
81.60016	1.17666	2.62146E-6
81.70016	1.17665	2.49118E-6
81.80016	1.17676	2.62146E-6
81.90016	1.17681	2.62146E-6
82.00016	1.17691	2.62146E-6
82.10016	1.17694	2.62146E-6
82.20016	1.17698	1.3419E-6
82.30016	1.17697	1.04087E-6
82.40016	1.17701	2.6133E-6
82.50016	1.17706	2.49927E-6
82.60016	1.17707	2.62146E-6
82.70016	1.17714	2.53958E-6
82.80016	1.1772	2.52841E-6
82.90016	1.17723	2.16011E-6
83.00016	1.17739	2.62146E-6
83.10016	1.17752	7.27512E-7
83.20016	1.17746	-4.61664E-7
83.30016	1.17759	2.62146E-6
83.40016	1.17763	2.62146E-6
83.50017	1.17769	2.62146E-6
83.60016	1.17774	2.62146E-6
83.70016	1.17777	2.62146E-6
83.80016	1.17779	2.62146E-6
83.90016	1.17782	2.62146E-6
84.00017	1.17788	2.62146E-6
84.10016	1.17795	2.37155E-6
84.20016	1.17799	2.62146E-6
84.30016	1.17809	2.62146E-6
84.40017	1.17812	2.62146E-6
84.50017	1.17819	2.62146E-6
84.60016	1.17833	2.62146E-6
84.70016	1.17838	2.62146E-6
84.80017	1.17843	2.62146E-6
84.90017	1.17852	2.60556E-6
85.00017	1.17852	2.62146E-6
85.10016	1.17856	2.62146E-6
85.20016	1.17856	2.62146E-6
85.30017	1.17858	2.62146E-6
85.40017	1.17863	2.13777E-6
85.50017	1.17863	2.62146E-6
85.60016	1.17875	2.47011E-6
85.70017	1.17874	2.47851E-6
85.80017	1.17878	2.62146E-6
85.90017	1.17885	2.62146E-6
86.00017	1.17895	2.62146E-6
86.10016	1.17913	2.62146E-6
86.20017	1.1792	2.62146E-6
86.30017	1.17924	2.62146E-6
86.40017	1.17926	2.57501E-6
86.50017	1.17932	2.62146E-6
86.60017	1.17939	1.27918E-6
86.70017	1.17937	1.63693E-6
86.80017	1.17939	2.39633E-6
86.90017	1.1794	2.62146E-6
87.00017	1.17952	1.58185E-6
87.10017	1.17948	2.62146E-6
87.20017	1.17962	2.62146E-6
