Time	E	j
s	V RHE	mA cm-2
79.30015	1.04455	3.27685E-6
79.40015	1.04455	3.27685E-6
79.50016	1.04455	3.27685E-6
79.60016	1.04455	3.18971E-6
79.70016	1.04456	-1.81077E-6
79.80015	1.04455	-2.0105E-6
79.90015	1.04453	3.20599E-6
80.00016	1.04453	7.70341E-7
80.10016	1.04453	-3.1791E-6
80.20016	1.04451	-9.18515E-7
80.30015	1.0445	2.7788E-6
80.40016	1.04449	3.27685E-6
80.50016	1.04449	3.27685E-6
80.60016	1.04449	3.27685E-6
80.70016	1.04449	2.27577E-6
80.80015	1.04449	4.39092E-7
80.90016	1.04448	3.27685E-6
81.00016	1.04448	3.27685E-6
81.10016	1.04448	3.27685E-6
81.20016	1.04449	-2.37479E-7
81.30016	1.04449	-1.9568E-6
81.40016	1.04449	-3.22146E-6
81.50016	1.0445	-3.2769E-6
81.60016	1.0445	-3.2769E-6
81.70016	1.0445	-3.2769E-6
81.80016	1.04449	-3.2769E-6
81.90016	1.04448	-1.8841E-6
82.00016	1.04447	3.27685E-6
82.10016	1.04448	6.10721E-7
82.20016	1.04448	-2.47641E-6
82.30016	1.04448	-3.2769E-6
82.40016	1.04448	-3.2769E-6
82.50016	1.04447	-5.48106E-7
82.60016	1.04447	2.3231E-6
82.70016	1.04446	3.21555E-6
82.80016	1.04447	3.27685E-6
82.90016	1.04448	-2.11464E-6
83.00016	1.04448	-2.93487E-6
83.10016	1.04446	3.27305E-6
83.20016	1.04448	3.05598E-6
83.30016	1.04448	-2.66668E-6
83.40016	1.04447	1.03205E-6
83.50017	1.04447	3.27685E-6
83.60016	1.04448	-8.80813E-7
83.70016	1.04448	-2.89444E-6
83.80016	1.04448	-3.2769E-6
83.90016	1.04447	-2.74422E-6
84.00017	1.04445	2.44073E-6
84.10016	1.04445	3.27685E-6
84.20016	1.04445	3.27685E-6
84.30016	1.04445	3.27685E-6
84.40017	1.04445	3.27685E-6
84.50017	1.04446	3.27685E-6
84.60016	1.04446	3.27685E-6
84.70016	1.04446	-2.50919E-7
84.80017	1.04446	1.37419E-6
84.90017	1.04446	3.27685E-6
85.00017	1.04447	-4.95171E-8
85.10016	1.04447	-3.2769E-6
