Time	E	j
s	V RHE	mA cm-2
60.00012	0.92737	-3.56347E-7
60.10012	0.92742	8.56291E-7
60.20012	0.92745	-1.25597E-6
60.30012	0.92749	-3.00558E-6
60.40012	0.92751	-7.07878E-7
60.50012	0.92755	-2.37794E-6
60.60012	0.92754	2.26043E-6
60.70012	0.9276	-1.32095E-6
60.80012	0.9276	-4.51874E-7
60.90012	0.92763	-1.19657E-6
61.00012	0.92766	-2.63429E-6
61.10012	0.92765	6.34121E-8
61.20012	0.9277	1.02416E-6
61.30012	0.92773	1.54059E-6
61.40012	0.92782	-1.72416E-6
61.50012	0.92783	-7.8607E-7
61.60012	0.92787	-2.18788E-6
61.70012	0.92784	1.5713E-6
61.80012	0.92791	-2.1961E-6
61.90012	0.92788	1.69154E-6
62.00012	0.92794	3.35579E-6
62.10012	0.928	3.00993E-6
62.20012	0.92811	3.33038E-6
62.30012	0.92814	-2.51935E-6
62.40012	0.92813	2.33593E-6
62.50012	0.9282	-2.68322E-6
62.60012	0.92819	-2.13284E-6
62.70012	0.92823	-2.26125E-6
62.80012	0.92827	-2.47478E-6
62.90012	0.92828	-8.87685E-7
63.00012	0.92838	1.01258E-6
63.10012	0.9284	-3.27981E-6
63.20012	0.92842	-1.40859E-6
63.30012	0.92845	-7.54585E-7
63.40012	0.92848	-1.39452E-6
63.50012	0.92852	-2.85138E-6
63.60012	0.92852	7.81503E-8
63.70012	0.92851	2.47254E-6
63.80012	0.92856	1.5514E-6
63.90012	0.92861	2.72174E-6
64.00013	0.92864	2.51163E-6
64.10013	0.92872	-4.6263E-7
64.20012	0.92873	-1.46745E-6
64.30012	0.92874	-1.98619E-6
64.40013	0.92874	1.107E-6
64.50013	0.92877	3.19509E-7
64.60013	0.92884	3.45066E-6
64.70012	0.92889	1.08631E-6
64.80012	0.9289	-2.4457E-6
64.90013	0.92894	2.6431E-6
65.00013	0.92897	-2.13835E-6
65.10013	0.929	-3.36216E-6
65.20012	0.92902	-2.5083E-6
65.30013	0.92908	9.25431E-7
65.40013	0.92912	-1.41669E-6
65.50013	0.92913	3.18416E-6
65.60013	0.92917	2.04211E-6
65.70012	0.92922	2.70412E-6
65.80013	0.92927	-1.7707E-6
65.90013	0.92927	6.94216E-7
66.00013	0.92928	2.84287E-6
66.10013	0.92935	-3.83442E-7
66.20013	0.92936	7.56178E-7
66.30013	0.92939	3.35947E-6
66.40013	0.92951	-1.22795E-6
66.50013	0.92953	-2.60337E-6
66.60013	0.92952	4.20258E-7
66.70013	0.92958	-1.89614E-6
66.80013	0.9296	-1.61425E-6
66.90013	0.92963	-1.90508E-6
67.00013	0.92964	1.12508E-6
67.10013	0.92969	1.14268E-6
67.20013	0.92973	1.35877E-6
67.30013	0.92977	-9.71253E-7
67.40013	0.92977	-1.49708E-6
67.50013	0.9298	-7.95613E-7
67.60013	0.92981	-2.88861E-6
67.70013	0.92982	5.8038E-7
67.80013	0.92986	1.82538E-6
67.90013	0.92989	3.23593E-6
68.00014	0.92995	4.58157E-7
68.10013	0.92998	1.55471E-6
68.20013	0.93001	-2.26816E-6
68.30013	0.93003	1.24094E-6
68.40014	0.93004	1.20567E-6
68.50014	0.93005	2.47575E-6
68.60013	0.93009	9.35884E-7
68.70013	0.93015	1.8366E-6
68.80013	0.93023	-2.33465E-6
68.90014	0.93021	2.44631E-6
69.00014	0.93028	-7.93467E-7
69.10013	0.93031	-2.00227E-6
69.20013	0.93033	-3.27189E-6
69.30014	0.93033	1.38282E-6
69.40014	0.93037	2.90462E-6
